"id","regtime(in unixtime)","country","device","app_language","user_language"
"23d53fd78182b64d86e2de04f4a991b6","1472510279","TR","samsung SM-T562","en","tr_TR"
"398c2d1b9bfc29e67dac1b9969e660e4","1472526178","US","LGE LGL33L","en","en_US"
"8bef9b79f6f594acf6b714fa52499b3a","1472373420","IT","samsung SM-T310","en","it_IT"
"9f9206ae845ff7d4924118542fd0613d","1472349842","BR","lge LG-P875h","en","pt_BR"
"e630cec3936014821bfe33b0528dddf5","1472177102","CA","samsung SM-G900W8","fr","fr_CA"
"0e46d8fecde0a4d8a9b71986a128a5fb","1472179322","BR","samsung SM-J320M","en","pt_BR"
"10eba3b060ee1fa1f4f03b15fafadbdf","1472649956","FR","samsung SM-J320FN","fr","fr_FR"
"14f49100b1334a148f6f21eb71518cdb","1471816686","CA","LGE LG-K210","en","en_CA"
"17973568b1d8b87d2cc83c3cd35781f9","1472134382","BR","motorola XT1097","en","pt_BR"
"1b8946c648b059c0f83e4d24c2752f63","1472102163","US","samsung SM-S820L","en","en_US"
"1bf56c87241892d438bb13cf4e84b0fc","1471878605","GB","Sony E5823","en","en_GB"
"20587830639224054","1470684000","FR","samsung SM-A310F","fr","fr_FR"
"26995867935216643","1470412177","FR","Sony E5823","fr","fr_FR"
"30177509487916098","1470930143","US","samsung SM-T110","en","en_US"
"33872519907197955","1470564818","DE","ODYS UNO_X10","de","de_DE"
"35697230834689119","1471375278","GB","samsung SM-T210","en","en_GB"
"34116112757105878","1471262259","DE","Motorola XOOM 2","de","de_DE"
"39310062001677458","1470685689","DE","Vodafone VF-1497","de","de_DE"
"39326980980409458","1470767538","FR","samsung SM-T530","fr","fr_FR"
"38322248043021399","1471208476","ES","samsung SM-A300FU","en","es_ES"
"40132915421606950","1471148562","US","LGE LGLS675","en","en_US"
"4181573371298893","1470086189","BR","LGE LG-H342","en","pt_BR"
"3604c0b8769e38503dda994d31a71dfb","1471977605","US","HUAWEI T1-A22L","en","en_US"
"4960291597980707","1472032048","GB","Vodafone VF-1397","en","en_GB"
"5078692861133849","1471330952","FR","samsung GT-I9300","fr","fr_FR"
"4cac7d1a197e9926706ebd939dbf5540","1472591158","DE","samsung GT-I8200N","de","de_DE"
"48914370826765526","1471538001","US","samsung SM-G360T1","en","en_US"
"50360972721054765","1471388724","US","LGE LGL62VL","en","en_US"
"53643204578067468","1470600197","FR","samsung SM-G920F","fr","fr_FR"
"5060896690140320","1470271295","US","Hewlett-Packard HP 7","en","en_US"
"54987015235896335","1470754242","DE","samsung GT-P5100","de","de_DE"
"55833667308967155","1471066052","RO","samsung GT-I9301I","en","ro_RO"
"58757698347119856","1471110241","FR","samsung SM-G928F","fr","fr_FR"
"52328009748038706","1471225708","US","samsung SM-T530NU","en","en_US"
"63637259752305809","1470374260","US","ZTE Z813","en","en_US"
"65108450848871579","1471220393","BR","samsung SM-J500M","de","pt_BR"
"6250365175227530","1470660443","DE","alps DENVER TAQ-10153 PO9868","de","de_DE"
"6073232876897475","1471368825","FR","samsung SM-G530FZ","fr","fr_FR"
"59274447636644923","1470347695","US","TCL 9006W","en","en_US"
"83645a52e8374ef92c41dd95e06b0311","1471982463","US","Alco RCT6303W87DK","en","en_US"
"87cf3df3632a057623aabda784bb0e2f","1471873685","US","samsung SM-G928T","en","en_US"
"67284193149355170","1471248124","US","LGE LGLS770","en","en_US"
"65510073067025454","1471099985","US","LGE LGLS770","en","en_US"
"cb1e36cb8cebcf738a89917e4ebc6acb","1471895345","FR","Logicom L-ITE 552","fr","fr_FR"
"9ed472c095822da97577d3ca515e57c4","1472373420","US","samsung SAMSUNG-SM-J320A","en","en_US"
"a5c3e0c14f16feb64048e14d3dd6f436","1472079063","US","ZTE N9132","en","en_US"
"b5f99441b22a3b70781941001fca2d0f","1472506979","US","samsung SCH-I545","en","en_US"
"8732070409401526","1471149891","US","motorola XT1032","en","en_US"
"ce3aba165d0423b8115e0cbcdfecd595","1471797008","US","ZTE Z936L","en","en_US"
"fe28bee963f47411f63c8405284a6b89","1472148002","DE","Lenovo Lenovo A7600-F","de","de_DE"
"b8b4ca431f9a5fd6f907ec5f328cf0c9","1472312703","US","Vortex Pulse","en","en_US"
"9b9506fba0bf30520692ba0a563d5df1","1472183762","US","samsung SM-N910T","en","en_US"
"ff7bd0953b2ec8362f8d10582afaedf7","1471676529","DE","samsung SM-T235","de","de_DE"
"d22a2b14e3806cb393f30767b839b160","1472663337","IT","motorola MotoE2(4G-LTE)","en","it_IT"
"f92d5e341998c4c82989aad5916907fb","1472652959","US","LGE LGMS550","en","en_US"
"0096b243d3755559ef464bc3e4d52f67","1472225820","GB","samsung SM-J500FN","fr","en_GB"
"003b250735b0208d9efd5b04cf1f7e9c","1472622958","US","samsung SM-T230NU","en","en_US"
"00553b547edd2797162536d128fb9474","1472585038","US","LGE LGL16C","en","en_US"
"005c573e6f04a67344619358201de554","1472338562","BE","Hewlett-Packard HP SlateBook 10 x2 PC","fr","fr_FR"
"00ad211d8acffedf0bed74dd88881499","1472275504","US","samsung SM-G900V","en","en_US"
"00ba8e645d39eb1dec12da7b99478ecf","1472685416","US","samsung SM-N900T","en","en_US"
"00e394a89ff84909502375269d130ca1","1472242741","NL","samsung GT-I8200N","en","nl_NL"
"01c44502afdd58a9526585f91156e8a3","1472340121","US","LGE LGMS330","en","en_US"
"022845f7d9007b1f05082b9b8596a179","1472333580","BR","motorola XT1033","en","pt_BR"
"0169770997e73007f09526598213a5ff","1472408759","IT","Vodafone VFD 600","en","it_IT"
"02837642c473e44d18256caf0697457c","1472402222","GB","Orange ONE TOUCH 4015X","en","en_GB"
"02f5eb09e3312a737187d3242aea946b","1472547059","FR","samsung SM-G361F","fr","fr_FR"
"023e9201a9775cc73001790b9bc13f73","1472386379","DE","HUAWEI HUAWEI VNS-L31","de","de_DE"
"038b8dc0e943506144672dbb43afa9a4","1472171582","CA","samsung SGH-I337M","fr","fr_CA"
"033f8bde30d52ee76b45ec9dbbd2e494","1472680857","TR","samsung SM-A510F","en","en_GB"
"0301528ea679282bd243cd2324159dfb","1472555639","US","alps NXA7QC132","en","en_US"
"07619a80c18db8a58651b7627f946f5c","1472188322","DE","HTC HTC One mini 2","de","de_DE"
"064409cea90f31a20b3d0a25d5f38c7b","1472468339","NL","samsung SM-G930F","en","nl_NL"
"04653e746f7dd029dc49a333af1834ec","1472342941","US","samsung SM-T110","en","en_US"
"05818900461ecb0ac5a8a240d46e8217","1472594279","GB","LENOVO YOGA Tablet 2-830F","en","en_GB"
"05990824b43207b0748a347360bf9604","1472262601","US","samsung SM-G930T","en","en_US"
"08b9f9e4da31b93308dfea7d82b7a828","1472511718","US","samsung SAMSUNG-SM-G935A","en","en_US"
"0bc24b604e88250410271f8d3a28542c","1472342452","US","samsung SM-T377R4","en","en_US"
"074f7b3527eb5c6c53729cd56e7bbc8a","1472355392","US","Alco RCT6303W87DK","en","en_US"
"0707a6c066782e7a60e6e145f2359fc8","1472424959","US","LGE LGL52VL","en","en_US"
"074c55bdec47bcbbe137416cfce2858d","1472654339","BR","samsung SM-J700M","en","pt_BR"
"06cf9edacca456054b3d7a90a51d42f9","1472452018","GB","samsung SM-J500FN","en","en_GB"
"28f4f79a5439435f63d9453d969d73bf","1472441099","US","LGE LG-K330","en","en_US"
"39979730884367513","1472176169","US","samsung SM-N910P","en","en_US"
"7800c22fe68fb9786808dcc8405ba2d5","1472178842","CA","LGE LG-K121","en","en_CA"
"b483dbe078b2d690dd841738f0bb2686","1472588519","US","samsung SM-N930V","en","en_US"
"c6f848718c5529347d76c909dbdfab87","1472619597","US","LGE LGLS991","en","en_US"
"10158897590023207","1470017306","CA","samsung SM-T210R","en","en_CA"
"19059039131673649","1471370988","DE","HTC HTC One M9","de","de_DE"
"16969554074809452","1471443823","FR","samsung SM-T550","fr","fr_FR"
"23539052082136075","1470065551","US","samsung SAMSUNG-SM-T337A","en","en_US"
"34901463709848587","1471377647","US","LGE LGMS330","en","en_US"
"36325169239368891","1470591981","SE","samsung SM-G920F","en","sv_SE"
"42369079194870797","1470529199","US","samsung SM-G930T","en","en_US"
"39983236633261308","1470904269","DE","HTC HTC Desire 526G dual sim","de","de_DE"
"44295404899058779","1470948972","US","samsung SM-T560NU","en","en_US"
"44800649388348566","1471425365","ES","Sony C2105","en","es_ES"
"44893099407246448","1471052949","DE","Sony D5103","de","de_DE"
"4d3e671468736eea70a2c24fa541b8b4","1471622010","TR","samsung SM-G925F","de","de_DE"
"52016373497464020","1471635329","FR","WIKO SUNSET2","fr","fr_FR"
